SubjectID_submitter,SampleID_submitter,Sample: Organism,Sample: Biosample type,Sample: Biosample description,Protocol: Material_type,Protocol: Assay,Protocol: Antibody,"Protocol: Platform (RNA-Seq, WGS)",Sample: Life_stage,Sample: Treatment,Sample: Material_amount,Sample: RIN,Protocol: Extraction_brief,Protocol: Experiment_description_brief,Protocol: Run_type,Protocol: Library_info_brief,Protocol: Read_length,Data contribution
R6114572,474_120514,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.5,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R6268135,475_120514,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.8,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R8457289,476_120514,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.7,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9072353,477_120514,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.3,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R4053976,478_120514,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.5,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R7738727,479_120514,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.3,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R6068406,47_120416,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.2,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R4689636,480_120514,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3328752,481_120514,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.5,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R8971831,482_120514,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R7039412,483_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.3,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R2645096,484_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.9,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3008520,485_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.9,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R7141740,486_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.4,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9904978,487_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.9,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R2310801,488_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.3,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R6759986,489_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.2,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R5256488,491_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.7,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R5693901,492_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,9.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9771008,493_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.9,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R6226355,494_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.5,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R8466373,495_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R1977848,496_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3391715,497_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R5850046,498_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R5211056,500_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.3,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3811781,501_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3143439,502_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R5541746,505_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R8155560,506_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.3,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R8882846,507_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.7,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R1218460,508_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.4,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R2264515,509_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9976232,510_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.5,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R5955028,511_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R1173111,513_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.5,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R5447358,515_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R1042011,516_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.2,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R7286984,517_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R1158585,51_120416,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.2,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R7881801,520_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R7911202,521_120515,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
